ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20220331101501	ParlaMint-DK-en_2022-03-31-20211-M84	u	English	-	-	-	1	4	5	0	
ParlaMint-DK_20220331101501.seg1.1	ParlaMint-DK_20220331101501	s	English	Positive	mixed positive	3.826	1	4	5	0	
ParlaMint-DK_20220331101506	ParlaMint-DK-en_2022-03-31-20211-M84	u	English	-	-	-	2	52	59	2	
ParlaMint-DK_20220331101506.seg2.1	ParlaMint-DK_20220331101506	s	English	Neutral	neutral negative	2.134	1	23	25	1	
ParlaMint-DK_20220331101506.seg2.2	ParlaMint-DK_20220331101506	s	English	Neutral	neutral positive	2.579	1	29	34	1	
ParlaMint-DK_20220331101520	ParlaMint-DK-en_2022-03-31-20211-M84	u	English	-	-	-	4	45	71	12	
ParlaMint-DK_20220331101520.seg3.1	ParlaMint-DK_20220331101520	s	English	Neutral	neutral positive	3.351	1	8	9	0	
ParlaMint-DK_20220331101520.seg3.2	ParlaMint-DK_20220331101520	s	English	Neutral	neutral positive	2.751	1	4	5	0	
ParlaMint-DK_20220331101520.seg3.3	ParlaMint-DK_20220331101520	s	English	Neutral	neutral positive	2.613	1	28	51	12	
ParlaMint-DK_20220331101520.seg3.4	ParlaMint-DK_20220331101520	s	English	Positive	mixed positive	4.207	1	5	6	0	
ParlaMint-DK_20220331101543	ParlaMint-DK-en_2022-03-31-20211-M84	u	English	-	-	-	6	115	178	34	
ParlaMint-DK_20220331101543.seg4.1	ParlaMint-DK_20220331101543	s	English	Neutral	neutral positive	2.938	1	18	19	0	
ParlaMint-DK_20220331101543.seg4.2	ParlaMint-DK_20220331101543	s	English	Neutral	neutral negative	2.352	1	51	88	22	
ParlaMint-DK_20220331101543.seg4.3	ParlaMint-DK_20220331101543	s	English	Neutral	neutral positive	2.637	1	8	8	0	
ParlaMint-DK_20220331101543.seg4.4	ParlaMint-DK_20220331101543	s	English	Neutral	neutral positive	2.625	1	28	51	12	
ParlaMint-DK_20220331101543.seg4.5	ParlaMint-DK_20220331101543	s	English	Positive	mixed positive	3.597	1	6	7	0	
ParlaMint-DK_20220331101543.seg4.6	ParlaMint-DK_20220331101543	s	English	Neutral	neutral positive	3.227	1	4	5	0	
ParlaMint-DK_20220331101638	ParlaMint-DK-en_2022-03-31-20211-M84	u	English	-	-	-	8	127	176	20	
ParlaMint-DK_20220331101638.seg5.1	ParlaMint-DK_20220331101638	s	English	Neutral	neutral positive	2.892	1	17	18	0	
ParlaMint-DK_20220331101638.seg5.2	ParlaMint-DK_20220331101638	s	English	Positive	mixed positive	3.512	1	4	5	0	
ParlaMint-DK_20220331101638.seg5.3	ParlaMint-DK_20220331101638	s	English	Neutral	neutral positive	2.523	1	35	47	7	
ParlaMint-DK_20220331101638.seg5.4	ParlaMint-DK_20220331101638	s	English	Neutral	neutral positive	2.751	1	4	5	0	
ParlaMint-DK_20220331101638.seg5.5	ParlaMint-DK_20220331101638	s	English	Neutral	neutral negative	1.661	1	30	53	8	
ParlaMint-DK_20220331101638.seg5.6	ParlaMint-DK_20220331101638	s	English	Positive	mixed positive	3.597	1	6	7	0	
ParlaMint-DK_20220331101638.seg5.7	ParlaMint-DK_20220331101638	s	English	Neutral	neutral negative	1.622	1	27	36	5	
ParlaMint-DK_20220331101638.seg5.8	ParlaMint-DK_20220331101638	s	English	Neutral	neutral positive	3.227	1	4	5	0	
ParlaMint-DK_20220331101733	ParlaMint-DK-en_2022-03-31-20211-M84	u	English	-	-	-	3	27	31	0	
ParlaMint-DK_20220331101733.seg6.1	ParlaMint-DK_20220331101733	s	English	Neutral	neutral positive	2.533	1	5	6	0	
ParlaMint-DK_20220331101733.seg6.2	ParlaMint-DK_20220331101733	s	English	Neutral	neutral positive	2.672	1	5	6	0	
