Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u1	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	Other
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u2	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	Other
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u3	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	Other
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u4	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	Health
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u5	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	BirgirArmannsson	Ármannsson, Birgir	M	1968	Macroeconomics
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u6	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	Agriculture
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u7	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	-	-	-	-	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	Government Operations
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u8	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	HannaFridriksson	Friðriksson, Hanna Katrín	F	1964	Government Operations
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u9	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	-	-	-	-	SvandisSvavarsdottir	Svavarsdóttir, Svandís	F	1964	Government Operations
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u10	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	notMinister	-	-	-	-	JohannJohannsson	Jóhannsson, Jóhann Páll	M	1992	Environment
ParlaMint-IS-en_2022-02-07-34	ParlaMint-IS_2022-02-07-34.u11	Speeches in the national parliament of Iceland, 24. term, regular meeting 152-34, 07.02.2022.	2022-02-07	Unicameralism	24. kjörtímabil	152. löggjafarþing	Hefðbundinn	-	-	COVID	English	Regular	MP	Minister	-	-	-	-	GudlaugurTHordarson	Þórðarson, Guðlaugur Þór	M	1967	Environment
