ParlaMint-IS_2022-03-03-46.u1	To answer, financial and economic ministers, infrastructure and social and workforce ministers.
ParlaMint-IS_2022-03-03-46.u2	Mr. President. By the end of February, it was the highest. The secretary of business is a public statement about the possible actions of the government to meet the situation of people who are having trouble because of difficult economic circumstances. The minister said that the government had clearly identified the situation and was aware that certain groups would be in trouble because of growing interest and inflation, claiming that economic action would be under attack. She even laid. for the high quality of individual articles, e.g. In the fishing industry, taxation would be taxed, that banks would profit to subsidize interest on apartment loans would be placed on higher bank taxes, and that the growth reforming system should be applied with greater weight. This was a new and refreshing tone that we in the United States were quite satisfied with. We feel that it is necessary to take action to meet the homes that are now caught by growing interest and inflation. It is not likely that this will now exaggerate with a period of war in Ukraine. In fact, we have proposed a synonym, along with other groups of government opposition. The secretary of the trade also demanded that these ideas be supported by her chairman and members of the council and that the forwarding party would attack to establish these proposals of support within the other government groups. However, after a slight follow-up, it was found that these suggestions were made by the vice president of the advance Party that seemed to have no sound basis for groups of colleagues, either independent party or left green. That's why I'm asking the highest. Enforcement: Were these statements made by the vice president and minister of the forwarding party, or are they supported by him and the members of the council as she claimed? Has the media submitted these ideas at the government table, or have they already been rejected there?
ParlaMint-IS_2022-03-03-46.u3	A respectable president. Thank you. A senator setting up the policy and viewpoint of our candidates. Of course, as political agents, whether members of Congress or Ministers, we should express what we think and where we should go. That's what's at the top. One minister said that at a time when the banks grew up greatly - I think she said that there was a lot of healing, which, of course, humans can only think about in the large context of things. But there is no question that there was a lot of money. Then she encouraged the banks. She encouraged the banks to return some of these funds to clients. And what happened? What happened? Senator? [[Up front.]] [[To the point: They grew.]] And if they didn't, the council would have a device. Bank tax may be reimbursed and tax, income, or so on. But the banks didn't go up. They did not raise their interest as a result of the traveling overseer's growth. In other words, they took into account what a businessman said and applied completely what a businessman said. So it hasn't been that we've taken the action to punish the banks. But we need to keep on observing, huh? A senator, and I know we share that opinion. We need to monitor the groups that are obviously more affected by inflation, by progressive prices, and by circumstances that may arise, whether in a housing market or elsewhere. I agree with what. That's what a senator does.
ParlaMint-IS_2022-03-03-46.u4	Mr. President. V.E.G. A minister goes around it like a cat around a hot grin. Of course, banks grew, the Lands Bank increased by 0.5% of the higher 0.75 percentage points. [[Up front.]] But what was of interest to the minister was that he spoke of the council taking over. He did not say that the government had a device, because there may be more things here at the council, even though there is no more in the government for these suggestions. The first question is: Will they have his view of using the most intimate measures to meet the most vulnerable groups? Does it use support within the rest of the governments? If not, will he bring the matter to the council himself so that the council can decide what to do, and in what circumstances, then, the government? V.E.G. Minister will only be on this very minute which remains to answer the question: Will the collaborators support a minister's proposal, and will he bring it to the council if she does not have support within the government? [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2022-03-03-46.u5	A respectable president. Of course, it doesn't work out for the United States and what. Senators coming out all day screaming and talking about growing up in this country when the fact is... [[Up front.]] [[Up front.]] [[Hairsick at the Senate Hall.]] - When it's true... President. [[Answer the question.]] Don't I have a minute to answer? [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u6	The president asks the senators to give the highest commission. Minister sound to answer.
ParlaMint-IS_2022-03-03-46.u8	Is this something delicate?
ParlaMint-IS_2022-03-03-46.u9	This is so that growth is not very high in Iceland, although it has increased. And what's wrong. There was a senator who said - yes, the harbor bank rose by 0.75, but the banks only increased by 0.4 or 0.5. [[Up front.]] In other words, it is less than it used to be.
ParlaMint-IS_2022-03-03-46.u10	Is there anything to tell the advance party?
ParlaMint-IS_2022-03-03-46.u11	As a result, it is fact that the banks listened to what a businessman said and went... [[...there's nothing to note...]] [[Up front.]] [[Up front.]]
ParlaMint-IS_2022-03-03-46.u12	The president must ask members of the Parliament to give a speaker a sound to finish his speech.
