,place,count,latitude,longitude,place_lower,score,lid,sender_surname,sender_forename,place_name,sender_score
0,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5018,Bonaparte,Louis Lucien,London,0.0458934214271273
1,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5017,Bonaparte,Louis Lucien,London,0.0458934214271273
2,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5016,Bonaparte,Louis Lucien,London,0.0458934214271273
3,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5009,Bonaparte,Louis Lucien,London,0.0458934214271273
4,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5015,Bonaparte,Louis Lucien,London,0.0458934214271273
5,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5020,Bonaparte,Louis Lucien,London,0.0458934214271273
6,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5014,Bonaparte,Louis Lucien,London,0.0458934214271273
7,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5013,Bonaparte,Louis Lucien,London,0.0458934214271273
8,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5012,Bonaparte,Louis Lucien,London,0.0458934214271273
9,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5011,Bonaparte,Louis Lucien,London,0.0458934214271273
10,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.5010,Bonaparte,Louis Lucien,London,0.0458934214271273
11,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3222,Meyer,Kuno,London,0.0440338103387942
12,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.1997,Rizal,José,London,0.0335325739185678
13,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.8090,Temple,Richard C.,London,0.0178885199009084
14,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12394,Stokes,Whitley,London,0.0
15,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.2967,Caldwell,Robert,London,0.0
16,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.2966,Caldwell,Robert,London,0.0
17,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.2965,Caldwell,Robert,London,0.0
18,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.2964,Caldwell,Robert,London,0.0
19,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.2963,Caldwell,Robert,London,0.0
20,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3110,Sweet,Henry,London,0.0
21,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3111,Sweet,Henry,London,0.0
22,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12140,Owen,Herbert Isambard,London,0.0
23,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3717,Priebsch,Josef,London,0.0
24,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3716,Priebsch,Josef,London,0.0
25,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3715,Priebsch,Josef,London,0.0
26,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3714,Priebsch,Josef,London,0.0
27,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3712,Priebsch,Josef,London,0.0
28,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3711,Priebsch,Josef,London,0.0
29,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3710,Priebsch,Josef,London,0.0
30,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3755,Dodgson,Edward Spencer,London,0.0
31,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.3780,Dodgson,Edward Spencer,London,0.0
32,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12044,Rost,Reinhold,London,0.0
33,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12043,Rost,Reinhold,London,0.0
34,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12042,Rost,Reinhold,London,0.0
35,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12041,Rost,Reinhold,London,0.0
36,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12049,Rost,Reinhold,London,0.0
37,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12048,Rost,Reinhold,London,0.0
38,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12047,Rost,Reinhold,London,0.0
39,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12046,Rost,Reinhold,London,0.0
40,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12045,Rost,Reinhold,London,0.0
41,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12037,Rost,Reinhold,London,0.0
42,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12036,Rost,Reinhold,London,0.0
43,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12034,Rost,Reinhold,London,0.0
44,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12032,Rost,Reinhold,London,0.0
45,London,90,51.4893335,-0.1440551,london,0.4906752408163627,L.12031,Rost,Reinhold,London,0.0
